Tick,Healthy,Sick,Recovered
1414,28,490,982
1415,27,491,982
1416,27,491,982
1417,25,491,984
1418,25,490,985
1419,25,489,986
1420,23,491,986
1421,22,489,989
1422,22,487,991
1423,22,485,993
1424,22,485,993
1425,22,485,993
1426,22,484,994
1427,22,483,995
1428,22,480,998
1429,22,479,999
1430,21,480,999
1431,21,477,1002
1432,20,474,1006
1433,20,472,1008
1434,20,471,1009
1435,20,469,1011
1436,20,466,1014
1437,20,463,1017
1438,19,457,1024
1439,19,457,1024
1440,18,455,1027
1441,18,454,1028
1442,17,453,1030
1443,17,451,1032
1444,16,451,1033
1445,16,450,1034
1446,16,446,1038
1447,16,444,1040
1448,15,444,1041
1449,15,443,1042
1450,15,441,1044
1451,14,442,1044
1452,14,438,1048
1453,14,435,1051
1454,13,435,1052
1455,13,434,1053
1456,13,432,1055
1457,13,432,1055
1458,13,432,1055
1459,13,432,1055
1460,13,429,1058
1461,13,429,1058
1462,13,429,1058
1463,13,426,1061
1464,13,424,1063
1465,13,423,1064
1466,13,422,1065
1467,13,421,1066
1468,13,419,1068
1469,13,418,1069
1470,12,417,1071
1471,12,417,1071
1472,12,414,1074
1473,12,413,1075
1474,12,412,1076
1475,12,410,1078
1476,12,409,1079
1477,12,408,1080
1478,12,407,1081
1479,12,403,1085
1480,12,402,1086
1481,12,399,1089
1482,12,397,1091
1483,12,397,1091
1484,12,396,1092
1485,12,396,1092
1486,12,396,1092
1487,12,393,1095
1488,11,394,1095
1489,10,392,1098
1490,10,391,1099
1491,10,389,1101
1492,10,388,1102
1493,10,386,1104
1494,10,385,1105
1495,10,385,1105
1496,10,383,1107
1497,10,382,1108
1498,10,381,1109
1499,10,380,1110
1500,10,377,1113
1501,10,376,1114
1502,10,376,1114
1503,10,374,1116
1504,10,373,1117
1505,10,371,1119
1506,10,371,1119
1507,10,369,1121
1508,10,367,1123
1509,10,366,1124
1510,10,364,1126
1511,10,364,1126
1512,10,363,1127
1513,10,363,1127
1514,10,360,1130
1515,10,360,1130
1516,10,358,1132
1517,10,356,1134
1518,10,356,1134
1519,10,351,1139
1520,10,349,1141
1521,10,349,1141
1522,10,346,1144
1523,10,345,1145
1524,10,345,1145
1525,10,344,1146
1526,10,341,1149
1527,10,340,1150
1528,10,338,1152
1529,10,336,1154
1530,10,335,1155
1531,10,334,1156
1532,10,330,1160
1533,10,329,1161
1534,10,327,1163
1535,10,327,1163
1536,10,325,1165
1537,10,322,1168
1538,10,320,1170
1539,10,319,1171
1540,10,318,1172
1541,10,317,1173
1542,10,317,1173
1543,10,315,1175
1544,10,314,1176
1545,10,314,1176
1546,10,311,1179
1547,10,310,1180
1548,10,309,1181
1549,10,308,1182
1550,10,306,1184
1551,10,304,1186
1552,10,302,1188
1553,10,301,1189
1554,10,301,1189
1555,10,300,1190
1556,10,300,1190
1557,10,300,1190
1558,10,297,1193
1559,10,296,1194
1560,10,292,1198
1561,10,292,1198
1562,10,289,1201
1563,10,289,1201
1564,10,288,1202
1565,10,286,1204
1566,10,286,1204
1567,10,284,1206
1568,10,283,1207
